run_id,candidate_id,case_id,replay,command
far_cabinet_candidate_0007,candidate_0007,far_cabinet,datasets/far_cabinet,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --infrared-canny-high=110 --pcl-cluster-tolerance-mm=50 --min-area-px=900 --split-boundary-px=5 --pcl-sample-step-px=4 --max-frames=600 --cluster-map-export=analysis_runs\far_cabinet_candidate_0007\cluster_map --final-segmentation-export=analysis_runs\far_cabinet_candidate_0007\final_segmentation
depth_hole_black_object_candidate_0007,candidate_0007,depth_hole_black_object,datasets/depth_hole_black_object,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --infrared-canny-high=110 --pcl-cluster-tolerance-mm=50 --min-area-px=900 --split-boundary-px=5 --pcl-sample-step-px=4 --max-frames=600 --cluster-map-export=analysis_runs\depth_hole_black_object_candidate_0007\cluster_map --final-segmentation-export=analysis_runs\depth_hole_black_object_candidate_0007\final_segmentation
wall_table_background_candidate_0007,candidate_0007,wall_table_background,datasets/wall_table_background,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --infrared-canny-high=110 --pcl-cluster-tolerance-mm=50 --min-area-px=900 --split-boundary-px=5 --pcl-sample-step-px=4 --max-frames=600 --cluster-map-export=analysis_runs\wall_table_background_candidate_0007\cluster_map --final-segmentation-export=analysis_runs\wall_table_background_candidate_0007\final_segmentation
near_single_object_candidate_0008,candidate_0008,near_single_object,datasets/near_single_object,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --min-depth-mm=250 --track-miss-frames=3 --track-smooth-percent=75 --pcl-frame-interval=1 --depth-slice-mm=400 --max-frames=600 --cluster-map-export=analysis_runs\near_single_object_candidate_0008\cluster_map --final-segmentation-export=analysis_runs\near_single_object_candidate_0008\final_segmentation
near_adjacent_objects_candidate_0008,candidate_0008,near_adjacent_objects,datasets/near_adjacent_objects,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --min-depth-mm=250 --track-miss-frames=3 --track-smooth-percent=75 --pcl-frame-interval=1 --depth-slice-mm=400 --max-frames=600 --cluster-map-export=analysis_runs\near_adjacent_objects_candidate_0008\cluster_map --final-segmentation-export=analysis_runs\near_adjacent_objects_candidate_0008\final_segmentation
far_cabinet_candidate_0008,candidate_0008,far_cabinet,datasets/far_cabinet,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --min-depth-mm=250 --track-miss-frames=3 --track-smooth-percent=75 --pcl-frame-interval=1 --depth-slice-mm=400 --max-frames=600 --cluster-map-export=analysis_runs\far_cabinet_candidate_0008\cluster_map --final-segmentation-export=analysis_runs\far_cabinet_candidate_0008\final_segmentation
depth_hole_black_object_candidate_0008,candidate_0008,depth_hole_black_object,datasets/depth_hole_black_object,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --min-depth-mm=250 --track-miss-frames=3 --track-smooth-percent=75 --pcl-frame-interval=1 --depth-slice-mm=400 --max-frames=600 --cluster-map-export=analysis_runs\depth_hole_black_object_candidate_0008\cluster_map --final-segmentation-export=analysis_runs\depth_hole_black_object_candidate_0008\final_segmentation
wall_table_background_candidate_0008,candidate_0008,wall_table_background,datasets/wall_table_background,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --min-depth-mm=250 --track-miss-frames=3 --track-smooth-percent=75 --pcl-frame-interval=1 --depth-slice-mm=400 --max-frames=600 --cluster-map-export=analysis_runs\wall_table_background_candidate_0008\cluster_map --final-segmentation-export=analysis_runs\wall_table_background_candidate_0008\final_segmentation
near_single_object_candidate_0009,candidate_0009,near_single_object,datasets/near_single_object,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --min-area-px=900 --infrared-canny-low=55 --min-depth-mm=250 --track-smooth-percent=65 --pcl-frame-interval=3 --max-frames=600 --cluster-map-export=analysis_runs\near_single_object_candidate_0009\cluster_map --final-segmentation-export=analysis_runs\near_single_object_candidate_0009\final_segmentation
near_adjacent_objects_candidate_0009,candidate_0009,near_adjacent_objects,datasets/near_adjacent_objects,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --min-area-px=900 --infrared-canny-low=55 --min-depth-mm=250 --track-smooth-percent=65 --pcl-frame-interval=3 --max-frames=600 --cluster-map-export=analysis_runs\near_adjacent_objects_candidate_0009\cluster_map --final-segmentation-export=analysis_runs\near_adjacent_objects_candidate_0009\final_segmentation
far_cabinet_candidate_0009,candidate_0009,far_cabinet,datasets/far_cabinet,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --min-area-px=900 --infrared-canny-low=55 --min-depth-mm=250 --track-smooth-percent=65 --pcl-frame-interval=3 --max-frames=600 --cluster-map-export=analysis_runs\far_cabinet_candidate_0009\cluster_map --final-segmentation-export=analysis_runs\far_cabinet_candidate_0009\final_segmentation
depth_hole_black_object_candidate_0009,candidate_0009,depth_hole_black_object,datasets/depth_hole_black_object,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --min-area-px=900 --infrared-canny-low=55 --min-depth-mm=250 --track-smooth-percent=65 --pcl-frame-interval=3 --max-frames=600 --cluster-map-export=analysis_runs\depth_hole_black_object_candidate_0009\cluster_map --final-segmentation-export=analysis_runs\depth_hole_black_object_candidate_0009\final_segmentation
wall_table_background_candidate_0009,candidate_0009,wall_table_background,datasets/wall_table_background,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --min-area-px=900 --infrared-canny-low=55 --min-depth-mm=250 --track-smooth-percent=65 --pcl-frame-interval=3 --max-frames=600 --cluster-map-export=analysis_runs\wall_table_background_candidate_0009\cluster_map --final-segmentation-export=analysis_runs\wall_table_background_candidate_0009\final_segmentation
