contour_id,persistence_bucket,long_run_count,run_count,bbox_width_p50,bbox_height_p50,bbox_area_percent_p50,foreground_area_percent_p50,mean_depth_mm_p50,center_radius_percent_p50,base_side,side,track_count,contour_count,frame_count,pair_count,binary_iou_min,binary_iou_p05,binary_iou_p50,binary_iou_p95,binary_iou_max,binary_iou_gt99_percent,occupancy_similarity_p05,occupancy_similarity_p50,occupancy_similarity_p95,binary_exact_adjacent_pair_count,binary_exact_adjacent_pair_percent,identity_scoped_binary_unique_value_count,identity_scoped_binary_repeated_frame_count,identity_scoped_binary_max_repeat_frequency,shape_only_binary_unique_value_count,identity_scoped_occupancy_unique_value_count,identity_scoped_occupancy_repeated_frame_count
56,medium_short,0,1,38.0,88.0,1.150391,0.44043,3460.0,68.03687,128,128,1,1,13,12,46.53725078698846,48.40768602638768,100.0,100.0,100.0,83.33333333333333,94.48883056640625,100.0,100.0,10,83.33333333333333,3,10,6,3,3,10
56,medium_short,0,1,38.0,88.0,1.150391,0.44043,3460.0,68.03687,128,64,1,1,13,12,45.908183632734534,49.07100490961206,100.0,100.0,100.0,83.33333333333333,94.51202392578125,100.0,100.0,10,83.33333333333333,3,10,6,3,3,10
56,medium_short,0,1,38.0,88.0,1.150391,0.44043,3460.0,68.03687,128,32,1,1,13,12,50.833333333333336,53.43055555555556,100.0,100.0,100.0,83.33333333333333,94.64691162109375,100.0,100.0,10,83.33333333333333,3,10,6,3,3,10
56,medium_short,0,1,38.0,88.0,1.150391,0.44043,3460.0,68.03687,128,16,1,1,13,12,46.42857142857143,48.392857142857146,100.0,100.0,100.0,83.33333333333333,95.01434326171875,100.0,100.0,10,83.33333333333333,3,10,6,3,3,10
56,medium_short,0,1,38.0,88.0,1.150391,0.44043,3460.0,68.03687,128,8,1,1,13,12,28.571428571428573,34.857142857142854,100.0,100.0,100.0,83.33333333333333,95.71685791015625,100.0,100.0,10,83.33333333333333,3,10,6,3,3,10
59,medium_short,0,1,119.0,49.0,1.889648,0.675456,361.0,58.114784,256,256,1,1,183,182,10.550358929736785,27.87216024176815,63.01821166880754,100.0,100.0,46.7032967032967,96.60598754882812,98.64425659179688,100.0,85,46.7032967032967,98,85,6,98,98,85
59,medium_short,0,1,119.0,49.0,1.889648,0.675456,361.0,58.114784,256,128,1,1,183,182,11.960132890365449,29.23256917780076,64.3201872488504,100.0,100.0,46.7032967032967,96.63909912109375,98.66104125976562,100.0,85,46.7032967032967,98,85,6,98,98,85
59,medium_short,0,1,119.0,49.0,1.889648,0.675456,361.0,58.114784,256,64,1,1,183,182,11.589403973509933,28.72764295410703,63.442367601246104,100.0,100.0,46.7032967032967,96.74041748046875,98.71749877929688,100.0,85,46.7032967032967,98,85,6,98,98,85
59,medium_short,0,1,119.0,49.0,1.889648,0.675456,361.0,58.114784,256,32,1,1,183,182,9.45945945945946,26.646389324960758,67.54385964912281,100.0,100.0,46.7032967032967,96.90780639648438,98.82278442382812,100.0,85,46.7032967032967,98,85,6,98,98,85
59,medium_short,0,1,119.0,49.0,1.889648,0.675456,361.0,58.114784,256,16,1,1,183,182,0.0,33.333333333333336,85.41666666666666,100.0,100.0,48.35164835164835,97.19757080078125,99.04098510742188,100.0,88,48.35164835164835,57,126,19,57,98,85
59,medium_short,0,1,119.0,49.0,1.889648,0.675456,361.0,58.114784,256,8,1,1,183,182,0.0,0.0,100.0,100.0,100.0,60.989010989010985,97.79624938964844,99.35073852539062,100.0,111,60.989010989010985,11,172,79,11,98,85
60,medium_short,0,1,46.0,94.0,1.452474,0.449219,3443.0,68.472736,128,128,1,1,14,13,32.94062205466541,45.976248821866164,100.0,100.0,100.0,84.61538461538461,93.662109375,100.0,100.0,11,84.61538461538461,3,11,6,3,3,11
60,medium_short,0,1,46.0,94.0,1.452474,0.449219,3443.0,68.472736,128,64,1,1,14,13,34.72727272727273,48.44448051948052,100.0,100.0,100.0,84.61538461538461,93.70849609375,100.0,100.0,11,84.61538461538461,3,11,6,3,3,11
60,medium_short,0,1,46.0,94.0,1.452474,0.449219,3443.0,68.472736,128,32,1,1,14,13,33.333333333333336,46.66666666666667,100.0,100.0,100.0,84.61538461538461,93.837890625,100.0,100.0,11,84.61538461538461,3,11,6,3,3,11
60,medium_short,0,1,46.0,94.0,1.452474,0.449219,3443.0,68.472736,128,16,1,1,14,13,29.41176470588235,46.76470588235294,100.0,100.0,100.0,84.61538461538461,94.3603515625,100.0,100.0,11,84.61538461538461,3,11,6,3,3,11
