scope,label,run_a,run_b,contour_id_a,contour_id_b,count,min,p01,p05,p50,p95,p99,max
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,37,16,12.269938650306749,12.281299704612588,12.326743921835947,13.098447712418302,15.172413793103448,15.172413793103448,15.172413793103448
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,38,375,12.087912087912088,14.594785534062236,16.453968864116856,23.484848484848484,31.98278450605545,35.16732673267326,37.62376237623762
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,40,6,32.63888888888889,32.673611111111114,32.8125,34.26573426573427,34.79020979020979,34.93006993006993,34.96503496503497
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,42,9,9.202453987730062,9.206998409452398,9.225176096341741,9.937888198757763,12.7682119205298,13.220309050772627,13.333333333333334
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,43,6,7.8431372549019605,7.8431372549019605,7.8431372549019605,8.49673202614379,9.091800278842802,9.235578598814918,9.271523178807946
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,45,6,12.925170068027212,12.963843071475166,13.118535085266984,13.74586679263108,13.937786351579454,13.97636845912708,13.986013986013987
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,50,92,6.315789473684211,6.439388794567062,7.142857142857142,10.309278350515463,14.409356725146198,15.217391304347828,15.217391304347828
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,59,183,13.186813186813188,14.702127659574469,16.702127659574465,25.53191489361702,32.25806451612903,33.33333333333333,34.40860215053764
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,60,14,6.535947712418301,6.608855154965212,6.900484925152857,8.518430061300851,17.647058823529413,17.647058823529413,17.647058823529413
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,66,12,6.382978723404255,6.508808053077099,7.012125371768474,9.000793021411578,13.529028757460663,13.653174172544766,13.684210526315791
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,71,27,3.389830508474576,3.3948382126348227,3.4090909090909087,8.974358974358974,17.316805916997673,18.279769894534994,18.571428571428573
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,77,17,4.705882352941177,4.795046439628483,5.151702786377709,12.658227848101266,28.208970132853864,28.336829487563683,28.368794326241137
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,6,82,20,8.60215053763441,9.03295932678822,10.75619448340346,12.632978723404255,14.293650793650793,14.414285714285713,14.444444444444443
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,7,9,570,1.9607843137254901,2.941176470588235,10.588235294117647,15.0,18.565891472868213,29.78723404255319,31.0
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,7,10,570,4.938271604938271,5.555555555555555,6.944444444444445,11.428571428571429,15.584415584415584,25.581395348837212,27.380952380952383
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,7,12,384,1.9607843137254901,4.166666666666666,6.92753001715266,20.754716981132077,41.348884381338735,47.32402031930335,50.0
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,7,16,14,3.10077519379845,3.7414700390426074,6.3042494200192385,9.403752807360718,15.174753289473683,15.666529605263156,15.789473684210526
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,7,18,38,10.714285714285714,11.019230769230768,11.538461538461538,19.90740740740741,30.03488372093023,36.093023255813975,39.53488372093023
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,7,21,31,0.8620689655172413,1.1206896551724137,2.144120247568523,7.2727272727272725,14.730753889110492,15.556277935798454,15.887850467289718
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,7,22,145,1.8867924528301887,2.9899665551839463,6.382978723404255,18.91891891891892,37.142857142857146,40.3027027027027,40.54054054054054
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,7,26,33,2.7522935779816518,2.7522935779816518,3.8281901584653886,9.836065573770492,16.27906976744186,16.27906976744186,16.27906976744186
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,7,27,7,16.9811320754717,17.053173241852488,17.341337907375646,19.81132075471698,25.198377711162046,26.72191853288661,27.102803738317753
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,7,28,19,6.481481481481481,6.627314814814815,7.210648148148149,12.5,14.471997300944667,14.824224021592443,14.912280701754385
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,7,30,14,5.785123966942149,5.791391184573003,5.816460055096418,7.6576576576576585,16.518733273862622,17.138333120937936,17.293233082706767
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,7,33,7,8.620689655172415,8.625187406296853,8.643178410794603,9.174311926605505,9.40751190266267,9.42867219185329,9.433962264150944
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,7,37,16,5.5045871559633035,5.718503042964848,6.574166590971025,11.060142711518859,13.131668182945992,13.245802663137873,13.274336283185843
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,7,38,375,6.8181818181818175,10.201844818231145,12.76595744680851,23.25581395348837,44.03508771929825,47.958333333333336,50.98039215686274
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,7,40,6,18.51851851851852,18.51851851851852,18.51851851851852,18.51851851851852,25.271831464492017,27.072714916751615,27.522935779816514
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,7,42,9,4.545454545454546,4.548790658882402,4.562135112593828,5.128205128205128,8.48378955542613,8.825470782372355,8.91089108910891
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,7,43,6,9.782608695652174,9.831112669471716,10.025128564749883,10.869565217391305,11.628282393456736,11.830606973740853,11.881188118811881
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,7,45,6,7.368421052631578,7.384615384615383,7.4493927125506065,8.421052631578947,9.449013157894738,9.468750000000002,9.473684210526317
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,7,50,92,2.127659574468085,2.21371158392435,5.308329498389323,10.753931544865864,16.633204633204635,19.184966216216228,21.875
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,7,59,183,1.9607843137254901,4.066938775510204,6.012244897959183,18.421052631578945,34.98837209302326,40.514285714285734,45.94594594594595
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,7,60,14,6.25,6.25,6.25,12.183055040197896,13.666666666666666,14.16190476190476,14.285714285714285
within_all:binary_contour_static_long_repeat_001,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,7,66,12,4.444444444444445,4.688888888888889,5.666666666666667,11.428571428571429,16.515151515151516,17.84848484848485,18.181818181818183
